MQ2,Soil,LDR,RoomTemp,Humidity,WaterTemp,Weight,Pred_Soil,Pred_RoomTemp,Pred_Humidity,Pred_WaterTemp
229.0,0.0,2871.0,22.6,46.8,21.5,0.5,0.0,22.6,46.8,21.5
230.0,0.0,2882.0,22.6,46.8,21.44,0.52,0.0,22.6,46.8,21.44
231.0,0.0,2864.0,22.5,46.7,21.44,0.5,0.0,22.5,46.7,21.44
228.0,0.0,2833.0,22.6,46.7,21.44,0.52,0.0,22.6,46.7,21.44
229.0,0.0,2864.0,22.5,46.8,21.5,0.47,0.0,22.5,46.8,21.5
226.0,0.0,2897.0,22.6,46.8,21.44,-238.4,0.0,22.6,46.8,21.44
228.0,0.0,2885.0,22.5,46.9,21.44,0.68,0.0,22.5,46.9,21.44
236.0,0.0,2880.0,22.6,46.9,21.44,58.56,0.0,22.6,46.9,21.44
189.0,0.0,2800.0,22.6,46.8,21.37,-236.77,0.0,22.6,46.8,21.37
191.0,0.0,3111.0,22.5,46.8,21.44,0.03,0.0,22.5,46.8,21.44
181.0,0.0,3116.0,22.5,46.8,21.44,0.02,0.0,22.5,46.8,21.44
208.0,0.0,3053.0,22.6,46.9,21.44,0.04,0.0,22.6,46.9,21.44
199.0,0.0,3117.0,22.5,46.7,21.44,100.31,0.0,22.5,46.7,21.44
209.0,0.0,2925.0,22.6,46.7,21.44,-0.9,0.0,22.6,46.7,21.44
209.0,0.0,3119.0,22.6,46.8,21.5,337.16,0.0,22.6,46.8,21.5
236.0,0.0,3071.0,22.6,46.7,21.5,337.24,0.0,22.6,46.7,21.5
229.0,0.0,3062.0,22.6,46.8,21.44,337.18,0.0,22.6,46.8,21.44
224.0,0.0,3010.0,22.7,46.7,21.5,337.24,0.0,22.7,46.7,21.5
249.0,0.0,3058.0,22.6,46.8,21.44,337.11,0.0,22.6,46.8,21.44
243.0,0.0,3062.0,22.8,46.8,21.5,337.15,0.0,22.8,46.8,21.5
237.0,0.0,3019.0,22.8,46.7,21.56,337.31,0.0,22.8,46.7,21.56
251.0,0.0,3065.0,22.6,46.8,21.5,337.33,0.0,22.6,46.8,21.5
245.0,0.0,3071.0,22.8,46.8,21.56,337.41,0.0,22.8,46.8,21.56
240.0,0.0,3017.0,22.8,46.7,21.56,337.32,0.0,22.8,46.7,21.56
245.0,0.0,3059.0,22.8,46.7,21.56,337.24,0.0,22.8,46.7,21.56
240.0,0.0,3085.0,22.8,46.7,21.56,337.21,0.0,22.8,46.7,21.56
240.0,0.0,3025.0,22.7,46.9,21.5,337.2,0.0,22.7,46.9,21.5
242.0,0.0,3070.0,22.7,47.0,21.5,337.32,0.0,22.7,47.0,21.5
240.0,0.0,3071.0,22.8,46.8,21.56,337.22,0.0,22.8,46.8,21.56
240.0,0.0,3071.0,22.7,46.8,21.5,337.22,0.057836823,0.5640214,-0.15248813,0.20913693
240.0,0.0,3062.0,22.7,46.7,21.5,337.24,0.0727856,0.58114064,-0.12942182,0.20686144
240.0,0.0,3071.0,22.7,46.7,21.5,337.26,0.15116502,0.5869073,-0.0784882,0.21062769
240.0,0.0,3071.0,22.7,46.7,21.56,337.24,0.15852778,0.6223177,-0.06592877,0.19921854
235.0,0.0,3063.0,22.7,46.6,21.44,337.3,0.15408957,0.6692397,-0.05639279,0.18544713
225.0,0.0,2725.0,22.7,46.7,21.56,-0.79,0.0,22.7,46.7,21.56
